"datestop","timestop","sex","race","age","weight","haircolr","eyecolor","build","city","inside","location","typeofid","perobs","perstop","arstmade","sumissue","frisked","searched","contrabn","radio","height","pf","weap"
1012015,315,"M","WHITE",33,190,"BROWN","BROWN","MEDIUM","BROOKLYN","0","NEITHER","VERBAL",2,"10","0","0","1","0","0","0",71,"0","0"
1152015,1747,"M","BLACK",14,140,"BLACK","BROWN","THIN","MANHATTAN","0","NEITHER","VERBAL",1,"4","0","0","1","0","0","1",68,"1","0"
1292015,1745,"M","BLACK",14,140,"BLACK","BROWN","THIN","MANHATTAN","0","NEITHER","VERBAL",1,"16","0","0","0","0","0","1",63,"1","0"
1292015,1745,"M","BLACK",14,180,"BLACK","BROWN","MEDIUM","MANHATTAN","0","NEITHER","VERBAL",1,"16","0","0","0","0","0","1",69,"0","0"
1292015,1745,"M","BLACK",13,160,"BLACK","BROWN","MEDIUM","MANHATTAN","0","NEITHER","VERBAL",1,"16","0","0","0","0","0","1",70,"1","0"
1292015,1745,"M","WHITE",13,130,"BLACK","BROWN","MEDIUM","MANHATTAN","0","NEITHER","VERBAL",1,"16","0","0","0","0","0","1",62,"1","0"
2062015,2155,"M","BLACK",25,160,"BLACK","BROWN","THIN","BROOKLYN","0","NEITHER","REFUSED",2,"5","0","0","1","0","0","0",69,"0","0"
2072015,2115,"M","BLACK",15,150,"BROWN","BROWN","THIN","MANHATTAN","1","HOUSING AUTHORITY","VERBAL",1,"5","0","0","1","0","0","0",67,"0","0"
2122015,1405,"M","BLACK",23,160,"BLACK","BROWN","THIN","MANHATTAN","1","TRANSIT AUTHORITY","PHOTO",9,"3","0","0","1","0","0","0",69,"1","0"
2142015,200,"M","WHITE",16,150,"BROWN","GREEN","MEDIUM","BROOKLYN","0","NEITHER","VERBAL",1,"10","0","0","0","0","0","1",70,"0","0"
2182015,2125,"M","BLACK",30,160,"BLACK","BROWN","MEDIUM","BROOKLYN","1","NEITHER","REFUSED",2,"5","0","0","1","0","0","1",70,"0","0"
3142015,15,"M","BLACK",18,160,"BLACK","BROWN","THIN","BROOKLYN","0","NEITHER","VERBAL",1,"15","0","0","1","0","0","0",70,"1","0"
1012015,10,"M","WHITE-HISPANIC",48,160,"BROWN","BROWN","THIN","MANHATTAN","0","NEITHER","PHOTO",1,"5","0","0","1","0","0","0",65,"0","0"
1012015,50,"M","BLACK",16,160,"BLACK","BROWN","THIN","STATEN IS","0","NEITHER","VERBAL",2,"5","0","0","1","0","0","0",68,"1","0"
1012015,115,"M","BLACK",26,155,"BLACK","BROWN","THIN","MANHATTAN","1","TRANSIT AUTHORITY","PHOTO",5,"45","1","0","1","1","0","0",67,"1","0"
1012015,130,"M","BLACK",14,120,"BROWN","BROWN","THIN","MANHATTAN","0","NEITHER","VERBAL",5,"10","0","0","0","0","0","0",65,"0","0"
1012015,140,"M","BLACK",26,165,"BLACK","BLACK","THIN","MANHATTAN","1","NEITHER","PHOTO",1,"20","0","0","1","0","0","1",70,"0","0"
1012015,225,"M","WHITE-HISPANIC",23,160,"BROWN","BROWN","THIN","QUEENS","0","NEITHER","PHOTO",1,"15","0","0","1","0","0","1",67,"1","0"
1012015,229,"M","BLACK-HISPANIC",19,150,"BLACK","BROWN","THIN","MANHATTAN","0","NEITHER","VERBAL",1,"1","1","0","1","1","1","0",66,"1","0"
1012015,230,"F","BLACK",99,180,"BLACK","BROWN","MEDIUM","MANHATTAN","1","NEITHER","REFUSED",1,"5","0","0","1","0","0","1",69,"1","0"
1012015,240,"Z","OTHER",24,150,"BLACK","BROWN","THIN","BROOKLYN","0","NEITHER","PHOTO",1,"5","0","0","1","0","0","0",69,"1","0"
1012015,300,"M","WHITE-HISPANIC",23,185,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","VERBAL",1,"5","0","0","1","0","0","0",66,"0","0"
1012015,300,"M","WHITE-HISPANIC",22,140,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","OTHER",1,"5","0","0","1","0","0","0",68,"0","0"
1012015,300,"M","WHITE-HISPANIC",24,180,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","PHOTO",1,"5","0","0","1","0","0","0",70,"0","0"
1012015,315,"F","WHITE-HISPANIC",32,140,"BROWN","BROWN","MEDIUM","QUEENS","0","NEITHER","PHOTO",1,"10","0","0","1","0","0","0",66,"0","0"
1012015,315,"M","WHITE",35,170,"BROWN","BLUE","MEDIUM","QUEENS","0","NEITHER","PHOTO",1,"10","0","0","1","0","0","0",71,"0","0"
1012015,315,"M","WHITE",33,195,"BLACK","BROWN","THIN","BROOKLYN","0","NEITHER","VERBAL",2,"10","0","0","1","0","0","0",71,"0","0"
1012015,430,"M","ASIAN/PACIFIC ISLANDER",39,170,"BLACK","BROWN","THIN","QUEENS","0","NEITHER","PHOTO",5,"5","0","1","0","0","0","1",69,"0","0"
1012015,450,"M","BLACK",20,180,"BLACK","BROWN","MUSCULAR","BRONX","0","HOUSING AUTHORITY","PHOTO",1,"2","0","0","1","0","0","0",72,"1","0"
1012015,530,"M","BLACK",30,150,"BLACK","BROWN","THIN","MANHATTAN","1","NEITHER","VERBAL",10,"10","0","0","0","0","0","1",69,"0","0"
1012015,1350,"M","BLACK",35,170,"BLACK","BROWN","MEDIUM","MANHATTAN","1","NEITHER","REFUSED",1,"1","0","0","0","0","0","1",67,"1","0"
1012015,1400,"M","BLACK",20,160,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","REFUSED",1,"5","0","0","1","0","0","0",66,"1","0"
1012015,1410,"M","BLACK-HISPANIC",44,200,"BLACK","BROWN","MEDIUM","BRONX","0","NEITHER","VERBAL",1,"15","0","0","0","0","0","0",69,"0","0"
1012015,1410,"Z","OTHER",32,160,"BLACK","BROWN","MEDIUM","BRONX","0","NEITHER","PHOTO",1,"15","0","0","0","0","0","0",65,"0","0"
1012015,1555,"F","WHITE-HISPANIC",42,150,"BROWN","BROWN","MEDIUM","BROOKLYN","1","NEITHER","PHOTO",1,"5","0","0","0","0","0","0",61,"0","0"
1012015,1555,"M","WHITE-HISPANIC",20,120,"BROWN","BROWN","THIN","BROOKLYN","1","NEITHER","PHOTO",1,"5","0","0","1","0","0","0",64,"0","0"
1012015,1555,"M","WHITE-HISPANIC",48,325,"BLACK","BROWN","HEAVY","BROOKLYN","1","NEITHER","PHOTO",1,"5","0","0","1","0","0","0",71,"0","0"
1012015,1815,"M","BLACK-HISPANIC",23,180,"BLACK","BROWN","MEDIUM","MANHATTAN","0","NEITHER","PHOTO",1,"5","0","0","1","0","0","1",71,"1","0"
1012015,1815,"Z","OTHER",20,140,"BROWN","BROWN","THIN","BROOKLYN","0","NEITHER","PHOTO",1,"5","0","0","0","0","0","0",65,"0","0"
1012015,1827,"M","WHITE-HISPANIC",15,125,"BLACK","BROWN","THIN","MANHATTAN","0","NEITHER","VERBAL",1,"13","0","0","0","0","0","1",64,"0","0"
1012015,1827,"M","WHITE-HISPANIC",12,180,"BLACK","BROWN","MEDIUM","MANHATTAN","0","NEITHER","VERBAL",1,"13","0","0","0","0","0","1",70,"0","0"
1012015,1850,"M","BLACK",53,200,"BALD","BROWN","MUSCULAR","MANHATTAN","0","NEITHER","PHOTO",2,"8","1","0","1","1","0","0",65,"1","1"
1012015,1930,"M","WHITE-HISPANIC",28,180,"BALD","BLACK","MEDIUM","BROOKLYN","0","NEITHER","PHOTO",1,"5","0","0","1","0","0","0",66,"0","0"
1012015,1945,"M","BLACK",14,150,"BLACK","BROWN","MEDIUM","MANHATTAN","0","NEITHER","REFUSED",1,"5","0","0","1","0","0","0",67,"1","0"
1012015,2000,"M","WHITE-HISPANIC",48,230,"BLACK","BROWN","HEAVY","BRONX","0","NEITHER","PHOTO",1,"2","0","0","1","0","0","0",66,"0","0"
1012015,2030,"M","WHITE-HISPANIC",16,150,"BLACK","BROWN","THIN","BRONX","0","NEITHER","VERBAL",2,"2","0","0","1","0","0","0",66,"0","0"
1012015,2034,"M","BLACK",17,125,"BLACK","BLACK","THIN","BROOKLYN","0","NEITHER","VERBAL",1,"3","1","0","1","0","0","0",70,"1","0"
1012015,2125,"M","BLACK",16,170,"BROWN","BROWN","MEDIUM","MANHATTAN","0","HOUSING AUTHORITY","PHOTO",1,"5","0","0","1","0","0","0",69,"0","0"
1012015,2155,"M","BLACK",16,160,"BROWN","BROWN","THIN","QUEENS","0","NEITHER","VERBAL",2,"5","0","0","1","0","0","1",72,"1","0"
1012015,2210,"M","BLACK",20,140,"BLACK","BROWN","MEDIUM","MANHATTAN","0","HOUSING AUTHORITY","PHOTO",1,"5","0","0","1","0","0","0",68,"0","0"
1012015,2210,"M","WHITE-HISPANIC",21,160,"BLACK","BROWN","THIN","MANHATTAN","1","NEITHER","PHOTO",5,"10","0","0","1","0","0","1",71,"0","0"
1012015,2215,"M","WHITE-HISPANIC",28,180,"BLACK","BROWN","UNKNOWN","BRONX","0","NEITHER","VERBAL",2,"10","0","0","1","0","0","1",69,"1","0"
1012015,2215,"M","WHITE-HISPANIC",21,180,"BLACK","BROWN","UNKNOWN","BRONX","0","NEITHER","PHOTO",2,"10","0","0","1","0","0","1",70,"1","0"
1012015,2235,"M","BLACK",31,190,"BLACK","BROWN","THIN","MANHATTAN","0","HOUSING AUTHORITY","VERBAL",2,"5","0","0","0","0","0","0",73,"0","0"
1012015,2250,"F","BLACK",27,150,"BLACK","BROWN","MEDIUM","MANHATTAN","0","NEITHER","PHOTO",1,"5","1","0","1","0","0","0",68,"1","1"
1012015,2310,"M","BLACK",19,180,"BLACK","BROWN","MEDIUM","BROOKLYN","0","HOUSING AUTHORITY","VERBAL",1,"2","0","0","1","0","0","0",73,"1","0"
1012015,2315,"M","BLACK",22,195,"BROWN","BROWN","THIN","BROOKLYN","0","NEITHER","VERBAL",1,"5","0","0","1","0","0","0",69,"1","0"
1012015,2325,"M","WHITE-HISPANIC",20,180,"BROWN","BROWN","MEDIUM","BRONX","0","NEITHER","PHOTO",3,"5","0","0","1","0","0","1",71,"0","0"
1012015,2325,"M","WHITE-HISPANIC",20,220,"UNKNOWN","UNKNOWN","HEAVY","BRONX","0","NEITHER","REFUSED",1,"2","0","0","1","0","0","1",72,"0","0"
1022015,11,"M","WHITE-HISPANIC",49,165,"BLACK","BROWN","THIN","BROOKLYN","0","NEITHER","PHOTO",2,"5","0","0","1","1","0","1",71,"0","0"
1022015,15,"M","BLACK",16,160,"BLACK","BROWN","THIN","BROOKLYN","0","NEITHER","PHOTO",1,"2","0","0","1","0","0","0",68,"0","0"
1022015,50,"M","BLACK",24,180,"BLACK","BROWN","THIN","BROOKLYN","0","NEITHER","PHOTO",1,"5","0","0","1","0","0","0",67,"1","0"
1022015,135,"M","AMERICAN INDIAN/ALASKAN NATIVE",24,150,"BLACK","BROWN","THIN","BROOKLYN","0","NEITHER","VERBAL",1,"5","0","0","1","0","0","0",66,"0","0"
1022015,150,"M","BLACK",16,150,"BLACK","BROWN","THIN","BROOKLYN","0","HOUSING AUTHORITY","VERBAL",1,"5","0","0","1","1","0","0",70,"1","0"
1022015,150,"M","WHITE-HISPANIC",33,170,"BLACK","BROWN","MEDIUM","MANHATTAN","0","NEITHER","PHOTO",3,"10","0","0","1","0","0","1",66,"0","0"
1022015,215,"M","BLACK-HISPANIC",30,185,"BLACK","BROWN","MEDIUM","MANHATTAN","0","NEITHER","VERBAL",1,"10","0","0","1","0","0","1",70,"1","0"
1022015,240,"M","BLACK",34,180,"BLACK","BROWN","MEDIUM","QUEENS","0","NEITHER","VERBAL",1,"5","1","0","1","0","0","0",70,"0","0"
1022015,331,"M","WHITE",17,180,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","VERBAL",1,"10","0","0","1","0","0","1",67,"1","0"
1022015,331,"M","WHITE",19,170,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","VERBAL",1,"10","0","0","1","0","0","1",68,"1","0"
1022015,600,"M","WHITE-HISPANIC",30,170,"BROWN","BROWN","THIN","BRONX","1","TRANSIT AUTHORITY","VERBAL",5,"15","0","0","0","0","0","1",70,"0","0"
1022015,1023,"M","WHITE-HISPANIC",45,170,"BROWN","BROWN","MEDIUM","MANHATTAN","0","HOUSING AUTHORITY","PHOTO",5,"5","0","0","0","0","0","0",73,"0","0"
1022015,1030,"M","BLACK-HISPANIC",57,150,"BLACK","BROWN","THIN","BROOKLYN","0","HOUSING AUTHORITY","PHOTO",1,"5","1","0","1","1","0","0",67,"1","0"
1022015,1200,"M","BLACK",18,160,"BROWN","BROWN","MEDIUM","BRONX","0","NEITHER","VERBAL",10,"2","1","0","1","1","0","0",65,"1","1"
1022015,1232,"F","BLACK",16,100,"BLACK","BROWN","THIN","QUEENS","1","NEITHER","VERBAL",1,"15","0","0","1","0","0","1",66,"1","1"
1022015,1350,"M","BLACK",20,180,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","REFUSED",1,"3","0","0","1","0","0","0",75,"0","0"
1022015,1350,"M","BLACK",20,190,"BLACK","BROWN","MEDIUM","BROOKLYN","0","NEITHER","REFUSED",1,"3","0","0","1","0","0","1",75,"0","0"
1022015,1355,"M","WHITE",19,150,"BROWN","BROWN","MEDIUM","QUEENS","0","NEITHER","PHOTO",1,"5","0","0","0","0","0","0",65,"0","0"
